MALATYA GÜNCEL İLÇE VE MAHALLELERİ
=================================

[Akçadağ]
Yenice Mahallesi, Darende, Malatya
Yeniköy Mahallesi, Darende, Malatya
Yenipınar Mahallesi, Darende, Malatya
Yeşiltaş Mahallesi, Darende, Malatya
Yukarıulupınar Mahallesi, Darende, Malatya
Zaviye Mahallesi, Darende, Malatya

[Doğanşehir]
Altıntop Mahallesi, Doğanşehir, Malatya
Beğre Mahallesi, Doğanşehir, Malatya
Bıçakçı Mahallesi, Doğanşehir, Malatya
Çavuşlu Mahallesi, Doğanşehir, Malatya
Çığlık Mahallesi, Doğanşehir, Malatya
Çömlekoba Mahallesi, Doğanşehir, Malatya
Dedeyazı Mahallesi, Doğanşehir, Malatya
Doğu Mahallesi, Doğanşehir, Malatya
Elmalı Mahallesi, Doğanşehir, Malatya
Erkenek Mahallesi, Doğanşehir, Malatya
Esentepe Mahallesi, Doğanşehir, Malatya
Eskiköy Mahallesi, Doğanşehir, Malatya
Fındık Mahallesi, Doğanşehir, Malatya
Gövdeli Mahallesi, Doğanşehir, Malatya
Günedoğru Mahallesi, Doğanşehir, Malatya
Gürobası Mahallesi, Doğanşehir, Malatya
Güzelköy Mahallesi, Doğanşehir, Malatya
Hudut Mahallesi, Doğanşehir, Malatya
Kadılı Mahallesi, Doğanşehir, Malatya
Kapıdere Mahallesi, Doğanşehir, Malatya
Karanlıkdere Mahallesi, Doğanşehir, Malatya
Karaterzi Mahallesi, Doğanşehir, Malatya
Karşıyaka Mahallesi, Doğanşehir, Malatya
Kelhalil Mahallesi, Doğanşehir, Malatya
Kurucaova Mahallesi, Doğanşehir, Malatya
Küçüklü Mahallesi, Doğanşehir, Malatya
Örencik Mahallesi, Doğanşehir, Malatya
Polat Mahallesi, Doğanşehir, Malatya
Polatderesi Mahallesi, Doğanşehir, Malatya
Reşadiye Mahallesi, Doğanşehir, Malatya
Savaklı Mahallesi, Doğanşehir, Malatya
Söğüt Mahallesi, Doğanşehir, Malatya
Suçatı Mahallesi, Doğanşehir, Malatya
Sürgü Mahallesi, Doğanşehir, Malatya
Şatırobası Mahallesi, Doğanşehir, Malatya
Topraktepe Mahallesi, Doğanşehir, Malatya
Yeni Mahallesi, Doğanşehir, Malatya
Yolkoru Mahallesi, Doğanşehir, Malatya
Yuvalı Mahallesi, Doğanşehir, Malatya

[Doğanyol]
Akkent Mahallesi, Doğanyol, Malatya
Behramlı Mahallesi, Doğanyol, Malatya
Burçköy Mahallesi, Doğanyol, Malatya
Çolak Mahallesi, Doğanyol, Malatya
Damlı Mahallesi, Doğanyol, Malatya
Gevheruşağı Mahallesi, Doğanyol, Malatya
Gökçe Mahallesi, Doğanyol, Malatya
Gümüşsu Mahallesi, Doğanyol, Malatya
İshak Mahallesi, Doğanyol, Malatya
Koldere Mahallesi, Doğanyol, Malatya
Konurtay Mahallesi, Doğanyol, Malatya
Mezraa Mahallesi, Doğanyol, Malatya
Poyraz Mahallesi, Doğanyol, Malatya
Ulutaş Mahallesi, Doğanyol, Malatya
Yalınca Mahallesi, Doğanyol, Malatya
Yeşilköy Mahallesi, Doğanyol, Malatya

[Hekimhan]
Akmağara Mahallesi, Hekimhan, Malatya
Aksütlü Mahallesi, Hekimhan, Malatya
Aşağı Sazlıca Mahallesi, Hekimhan, Malatya
Bağyolu Mahallesi, Hekimhan, Malatya
Bahçedamı Mahallesi, Hekimhan, Malatya
Bahçelievler Mahallesi, Hekimhan, Malatya
Ballıkaya Mahallesi, Hekimhan, Malatya
Basak Mahallesi, Hekimhan, Malatya
Başkavak Mahallesi, Hekimhan, Malatya
Başkınık Mahallesi, Hekimhan, Malatya
Beykent Mahallesi, Hekimhan, Malatya
Boğazgören Mahallesi, Hekimhan, Malatya
Budaklı Mahallesi, Hekimhan, Malatya
